COMPANY,CIK,SIC
"AMERICAN LEISURE HOLDINGS, INC.",1124197,6500
AMERICAN LIFE HOLDING CO INC,1187449,6411
AMERICAN LOCKER GROUP INC,8855,2540
AMERICAN MEDIA OPERATIONS INC,853927,2721
AMERICAN MEDICAL ALERT CORP,700721,7380
AMERICAN MEDICAL SYSTEMS HOLDINGS INC,1114200,3842
AMERICAN MEDICAL TECHNOLOGIES INC/DE,874388,3843
AMERICAN MORTGAGE ACCEPTANCE CO,878774,6798
AMERICAN NATIONAL BANKSHARES INC,741516,6021
AMERICAN NATURAL ENERGY CORP,870732,1311
AMERICAN OIL & GAS INC,1120916,1311
AMERICAN ORIENTAL BIOENGINEERING INC,1090514,2834
AMERICAN PACIFIC CORP,350832,2810
AMERICAN PETRO-HUNTER INC,1040482,1389
AMERICAN PHYSICIANS CAPITAL INC,1118148,6324
AMERICAN PHYSICIANS SERVICE GROUP INC,724024,8741
AMERICAN POWER CONVERSION CORPORATION,835910,3620
AMERICAN REAL ESTATE PARTNERS L P,813762,6512
AMERICAN REALTY INVESTORS INC,1102238,6510
American Reprographics CO,1305168,7330
AMERICAN REPUBLIC REALTY FUND I,711512,6500
AMERICAN RETIREMENT CORP,787784,8051
AMERICAN RIVER Bankshares,1108236,6022
AMERICAN ROCK SALT CO LLC,1073713,1400
AMERICAN SAFETY INSURANCE HOLDINGS LTD,783603,6411
AMERICAN SCIENCE & ENGINEERING INC,5768,3844
American Security Resources Corp.,1085069,3621
AMERICAN SHARED HOSPITAL SERVICES,744825,8071
AMERICAN SKIING CO /ME,1043432,7990
AMERICAN SOIL TECHNOLOGIES INC,1031896,2870
AMERICAN SOUTHWEST HOLDINGS INC,1001516,9995
AMERICAN SPECTRUM REALTY INC,1121783,6798
AMERICAN SPORTS DEVELOPMENT GROUP INC,1073874,5190
AMERICAN STANDARD COMPANIES INC,836102,3585
AMERICAN STATES WATER CO,1056903,4941
AMERICAN SUPERCONDUCTOR CORP /DE/,880807,3621
AMERICAN TAX CREDIT PROPERTIES II L P,842314,6513
AMERICAN TAX CREDIT PROPERTIES III LP,856135,6513
AMERICAN TAX CREDIT PROPERTIES LP,830159,6513
AMERICAN TAX CREDIT TRUST SERIES I,897315,6513
AMERICAN TECHNOLOGIES GROUP INC,878547,3440
AMERICAN TECHNOLOGY CORP /DE/,924383,3651
AMERICAN TIRE DISTRIBUTORS INC,1068152,5013
AMERICAN TOWER CORP /MA/,1053507,4899
AMERICAN UNITED GOLD CORP,1079222,2870
AMERICAN VANGUARD CORP,5981,2870
AMERICAN VANTAGE COMPANIES,315428,8741
AMERICAN WAGERING INC,1005214,7990
AMERICAN WATER STAR  INC,1041580,2080
AMERICAN WOODMARK CORP,794619,2430
AMERICANA PUBLISHING INC,1081751,2741
AMERICANWEST BANCORPORATION,726990,6022
AMERICAS CARMART INC,799850,5500
AMERICASBANK CORP,1040491,6035
AMERICHIP INTERNATIONAL INC,1132487,3550
AmeriCredit Automobile Receivables Trust 2004-1,1292113,6189
AMERICREDIT AUTOMOBILE RECEIVABLES TRUST 2004-A-F,1279447,6189
AMERICREDIT AUTOMOBILE RECEIVABLES TRUST 2004-B-M,1286822,6189
AmeriCredit Automobile Receivables Trust 2004-C-A,1301765,6189
AmeriCredit Automobile Receivables Trust 2004-D-F,1308150,6189
AMERICREDIT CORP,804269,6199
AMERIGAS FINANCE CORP,945792,5990
AMERIGAS PARTNERS LP,932628,5990
AMERIGON INC,903129,3714
AMERIGROUP CORP,1064863,6324
"amerimine resources, inc.",1075861,3911
AMERINST INSURANCE GROUP LTD,1065201,6399
AMERIPATH INC,1027532,8071
AMERIQUEST MORTGAGE SEC INC AS BK PAS THR CERS SER 2004 FR1,1286741,6189
AMERIQUEST MORTGAGE SEC INC ASSET BK PAS THR CERT SE 2004 R3,1286486,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET BACK SER 2004-R1,1279113,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R4,1289445,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R6,1293294,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R7,1296366,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R8,1299121,6189
AMERIQUEST MORTGAGE SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R9,1302012,6189
AMERIQUEST MORTGAGE SECURITIES INC. ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-IA1,1303633,6189
AMERIQUEST MORTGAGE SECURITIES INC. ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R10,1305435,6189
AMERIQUEST MORTGAGE SECURITIES INC. ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R11,1307847,6189
AMERIRESOURCE TECHNOLOGIES INC,876490,7389
Ameris Bancorp,351569,6022
AMERISERV FINANCIAL INC /PA/,707605,6021
AMERISOURCEBERGEN CORP,1140859,5122
AMERISTAR CASINOS INC,912145,7990
AMERITYRE CORP,945828,3011
AMERIVEST PROPERTIES INC,927102,6798
AMERON INTERNATIONAL CORP,790730,3270
AMERUS GROUP CO/IA,1051717,6311
AMES NATIONAL CORP,1132651,6021
"Ames True Temper, Inc.",1297756,3524
AMETEK INC/,1037868,3621
AMEXDRUG CORP,45621,5122
AMF BOWLING WORLDWIDE INC,1015535,7900
AMG OIL LTD,1109504,1382
AMGEN INC,318154,2836
"AMH Holdings, Inc.",1289559,3089
"AMICAS, Inc.",1028584,7372
AMIS HOLDINGS INC,1161963,3674
AMISTAR CORP,741559,3559
AMKOR TECHNOLOGY INC,1047127,3674
AML COMMUNICATIONS INC,1003640,3669
AMLI RESIDENTIAL PROPERTIES TRUST,914724,6798
AMN HEALTHCARE SERVICES INC,1142750,8090
AMP PRODUCTIONS LTD,1242513,7812
AMPAL-AMERICAN ISRAEL CORP,731859,6799
AMPCO PITTSBURGH CORP,6176,3561
AMPEX CORP /DE/,887433,3663
AMPHENOL CORP /DE/,820313,3678
AMR CORP,6201,4512
AMRECORP REALTY FUND II,745061,6500
AMRECORP REALTY FUND III,776813,6500
AMREIT,913957,6798
AMREP CORP,6207,7389
AMS HEALTH SCIENCES INC,841866,5099
AMS HOMECARE INC,1201784,5047
AMSCAN HOLDINGS INC,1024729,2650
AMSOUTH BANCORPORATION,3133,6022
AMSURG CORP,895930,8011
AMTECH SYSTEMS INC,720500,3559
AMTROL INC /RI/,853547,3443
AMVESCAP PLC/LONDON/,914208,6282
AMYLIN PHARMACEUTICALS INC,881464,2834
ANADARKO PETROLEUM CORP,773910,1311
ANADIGICS INC,940332,3674
ANADYS PHARMACEUTICALS INC,1128495,2834
ANALEX CORP,44800,7370
ANALOG DEVICES INC,6281,3674
ANALOGIC CORP,6284,3825
ANALYSTS INTERNATIONAL CORP,6292,7371
ANALYTICAL SURVEYS INC,753048,7389
ANAREN  INC,6314,3663
ANCHOR BANCORP WISCONSIN INC,885322,6036
ANDERSONS INC,821026,5150
ANDINA BOTTLING CO INC,925261,2086
ANDREA ELECTRONICS CORP,6494,3663
ANDREW CORP,317093,3357
ANDRX CORP /DE/,1123337,2834
"ANESIVA, INC.",1131517,2834
ANGEION CORP/MN,815093,3841
ANGELCITI ENTERTAINMENT INC /FL/,1084122,7990
ANGELES INCOME PROPERTIES LTD 6,812564,6500
ANGELES INCOME PROPERTIES LTD II,711642,6500
ANGELES OPPORTUNITY PROPERTIES LTD,789282,6500
ANGELES PARTNERS IX,313499,6512
ANGELES PARTNERS X,317900,6500
ANGELES PARTNERS XI,702986,6500
ANGELES PARTNERS XII,720392,6500
ANGELICA CORP /NEW/,6571,7200
ANGIODYNAMICS INC,1275187,3841
"AngioGenex, Inc.",1085596,4899
ANGIOTECH PHARMACEUTICALS INC,1096481,2834
ANGLO SWISS RESOURCES INC,277910,1040
ANGLOGOLD ASHANTI LTD,1067428,1040
"ANHEUSER-BUSCH COMPANIES, INC.",310569,2082
ANIKA THERAPEUTICS INC,898437,3841
ANIXTER INTERNATIONAL INC,52795,5063
ANMORE INC,1252278,9995
ANNALY CAPITAL MANAGEMENT INC,1043219,6798
ANNAPOLIS BANCORP INC,1041429,6021
ANNTAYLOR STORES CORP,874214,5621
ANOORAQ RESOURCES CORP,1028277,1000
ANR PIPELINE CO,65695,4922
ANSELL LTD,791440,3060
ANSOFT CORP,849433,7372
Answers CORP,1283073,7372
ANSWERTHINK INC,1057379,8742
ANSYS INC,1013462,7372
ANTARES PHARMA INC,1016169,3841
ANTHONY CLARK INTERNATIONAL INSURANCE BROKERS LTD,1098712,6411
ANTHRACITE CAPITAL INC,1050112,6798
ANTICUS INTERNATIONAL CORP,1192494,8200
ANTIGENICS INC /DE/,1098972,2836
ANTS SOFTWARE INC,796655,7371
ANVIL HOLDINGS INC,1038274,2253
ANWORTH MORTGAGE ASSET CORP,1047884,6798
ANZ CAPEL COURT LTD,1133529,6189
AON CORP,315293,6321
AP HENDERSON GROUP,1096653,9995
AP PHARMA INC /DE/,818033,2834
"APA Enterprises, Inc.",796505,3827
APAC CUSTOMER SERVICE INC,949297,7389
APACHE CORP,6769,1311
APACHE OFFSHORE INVESTMENT PARTNERSHIP,727538,1311
APCO ARGENTINA INC/NEW,311471,1311
"APD ANTIQUITIES, INC.",1289046,6770
APEX CAPITAL GROUP INC,1086141,9995
APEX RESOURCES GROUP INC,742248,6221
APEX SILVER MINES LTD,1011509,1040
APHTON CORP,840319,2836
API ELECTRONICS GROUP INC,1022282,7374
APIVA VENTURES LTD,1000791,1040
APOGEE ENTERPRISES INC,6845,3231
APOGEE TECHNOLOGY INC,823876,3674
APOGENT TECHNOLOGIES INC,824803,3821
APOLLO GOLD CORP,938113,1040
APOLLO GROUP INC,929887,8200
APOLLO RESOURCES INTERNATIONAL INC,1048237,1311
APOLO GOLD & ENERGY INC.,1040721,1000
APPALACHIAN BANCSHARES INC,1019883,6022
APPALACHIAN POWER CO,6879,4911
"APPIAN, INC.",1016082,7372
APPLE COMPUTER INC,320193,3571
APPLE HOSPITALITY FIVE INC,1191813,6798
APPLE HOSPITALITY TWO INC,1132747,6798
APPLE REIT SIX INC,1277151,6798
APPLEBEES INTERNATIONAL INC,853665,5812
APPLERA CORP,77551,3826
APPLETON PAPERS INC/WI,1144326,2670
APPLIANCE RECYCLING CENTERS OF AMERICA INC /MN,862861,5700
APPLICA INC,217084,3634
APPLIED DIGITAL SOLUTIONS INC,924642,3669
APPLIED DNA SCIENCES INC,744452,2836
APPLIED IMAGING CORP,816066,3841
APPLIED INDUSTRIAL TECHNOLOGIES INC,109563,5080
APPLIED INNOVATION INC,798399,3661
APPLIED MATERIALS INC /DE,6951,3674
APPLIED MEDICAL DEVICES INC,312258,9995
APPLIED MICRO CIRCUITS CORP,711065,3674
APPLIED NEUROSOLUTIONS INC,872947,2836
APPLIED SIGNAL TECHNOLOGY INC,741696,3669
APPLIED SPECTRUM TECHNOLOGIES INC,705868,3661
APPLIX INC /MA/,932112,7372
APRIA HEALTHCARE GROUP INC,882289,8082
APT SATELLITE HOLDINGS LTD,1027229,4899
APTARGROUP INC,896622,3089
APTIMUS INC,1087277,7389
AQUA AMERICA INC,78128,4941
"AQUA SOCIETY, INC.",1213111,3590
AQUANTIVE INC,1071806,7389
AQUENTIUM INC,918997,1540
AQUILA  INC,66960,4911
ARABIAN AMERICAN DEVELOPMENT CO,7039,2911
ARACRUZ CELLULOSE S A,883952,2611
ARADIGM CORP,1013238,3845
ARADYME CORP,1123580,7372
ARAMARK CORP/DE,1144528,5812
ARAUCO & CONSTITUTION PULP INC,1004156,2611
ARBINET THEXCHANGE INC,1136655,7389
ARBIOS SYSTEMS INC,1138862,3841
ARBITRON INC,109758,8700
ARBOR ENTECH CORP,710782,6770
ARBOR REALTY TRUST INC,1253986,6798
ARC CORPORATE REALTY TRUST INC,1230358,6798
ARC ENERGY TRUST,1029509,1311
ARC WIRELESS SOLUTIONS INC,826326,4899
"ARCADIA RESOURCES, INC",1071941,7200
ARCADIS N V,913596,8711
ARCH CAPITAL GROUP LTD.,947484,6331
ARCH CHEMICALS INC,1072343,2800
ARCH COAL INC,1037676,1221
ARCH WESTERN RESOURCES LLC,1255895,1221
ARCHER DANIELS MIDLAND CO,7084,2070
ARCHON CORP,812482,7990
ARCHSTONE SMITH OPERATING TRUST,80737,6798
ARCHSTONE SMITH TRUST,1156826,6798
ARCTIC CAT INC,719866,3790
ARDEN GROUP INC,225051,5411
Ardent Acquisition CORP,1303849,6770
ARDENT MINES LTD,1129018,1040
ARENA PHARMACEUTICALS INC,1080709,2834
ARENA RESOURCES INC,1123871,1311
ARETE INDUSTRIES INC,820901,1311
ARGAN INC,100591,2833
ARGENT SECURITIES ASSET BCKED PASS THROUGH CERTS SER 2004-W4,1283045,6189
ARGENT SECURITIES INC ASSET BACK PASS THR CERTS SER 2004 W2,1282417,6189
ARGENT SECURITIES INC ASSET BACK PASS THR CERTS SER 2004 W3,1282391,6189
ARGENT SECURITIES INC ASSET BACK PASS THR CERTS SER 2004-W5,1286297,6189
ARGENT SECURITIES INC ASSET BACK PASS THR CERTS SER 2004-W6,1286260,6189
ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SEIRES 2004-W8,1289764,6189
ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-W7,1289313,6189
"ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES, SERIES 2004-PW1",1292352,6189
"ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES, SERIES 2004-W10",1302636,6189
"ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES, SERIES 2004-W11",1305686,6189
"ARGENT SECURITIES INC ASSET-BACKED PASS-THROUGH CERTIFICATES, SERIES 2004-W9",1292658,6189
ARGENT SECURITIES INC ASST BACK PASS THR CERTS SER 20003-W10,1274488,6189
ARGENTA SYSTEMS INC,1091294,7389
ARGENTEX MINING CORP,1167887,1400
ARGO TECH CORP,1047837,3724
"ARGON ST, Inc.",26537,3829
ARGONAUT GROUP INC,800082,6331
ARGOSY MINERALS INC,1047363,1000
ARI NETWORK SERVICES INC /WI,879796,7370
ARIAD PHARMACEUTICALS INC,884731,2836
ARIBA INC,1084755,7372
ARIEL WAY INC,1145254,6794
ARISTOTLE CORP,790071,3841
ARIZONA LAND INCOME CORP,830748,6798
ARIZONA PUBLIC SERVICE CO,7286,4931
ARK RESTAURANTS CORP,779544,5812
ARKANSAS BEST CORP /DE/,894405,4213
ARKONA INC,925662,7373
ARLINGTON HOSPITALITY INC,778423,7011
Arlington Tankers Ltd.,1305507,4412
ARM HOLDINGS PLC,1057997,3674
"Armor Electric, Inc.",1211768,9995
ARMOR HOLDINGS INC,845752,3842
ARMSTRONG HOLDINGS INC /PA/,1109304,3089
ARMSTRONG WORLD INDUSTRIES INC,7431,3089
AROTECH CORP,916529,3690
ARQULE INC,1019695,2834
ARRAY BIOPHARMA INC,1100412,8071
ARRHYTHMIA RESEARCH TECHNOLOGY INC /DE/,819689,3845
ARRIS GROUP INC,1141107,3663
ARROW ELECTRONICS INC,7536,5065
ARROW FINANCIAL CORP,717538,6021
ARROW INTERNATIONAL INC,886046,3841
ARROW RESOURCES DEVELOPMENT INC,795255,3663
ARROWHEAD RESEARCH CORP,879407,8731
ART ADVANCED RESEARCH TECHNOLOGIES INC,1094026,3826
ART BOUTIQUE INC,1129458,6770
ART TECHNOLOGY GROUP INC,1086195,7372
ARTCRAFT III INC,1294611,9995
ARTCRAFT V INC,1294614,7374
ARTESIAN RESOURCES CORP,863110,4941
ARTHROCARE CORP,1005010,3845
ARTIFICIAL LIFE INC,1070361,7372
ARTISTDIRECT INC,1095079,7389
ARTS WAY MANUFACTURING CO INC,7623,3523
ARVANA INC,1113313,9995
ARVINMERITOR INC,1113256,3714
AS STEAMSHIP CO TORM,1168351,4400
ASAH CORP,1257499,8000
ASANTE TECHNOLOGIES INC,913598,3576
ASAT HOLDINGS LTD,1102384,3674
ASBURY AUTOMOTIVE GROUP INC,1144980,5500
ASCENDANT SOLUTIONS INC,1080029,7389
ASCONI CORP,847917,2080
ASE TEST LTD,1014838,3674
ASHFORD HOSPITALITY TRUST INC,1232582,6798
ASHWORTH INC,820774,2320
ASI ENTERTAINMENT INC,1067873,3728
ASI TECHNOLOGY CORP,7951,3679
ASIA BIOTECHNOLOGY GROUP INC,1302646,2834
ASIA PACIFIC RESOURCES LTD,949577,1400
ASIA PAYMENT SYSTEMS INC,1085113,7389
ASIA PREMIUM TELEVISION GROUP,860543,4833
ASIA SATELLITE TELECOMMUNICATIONS HOLDINGS LTD,1015276,4899
ASIAINFO HOLDINGS INC,1100969,7389
ASIAN FINANCIAL INC,1086142,9995
ASM INTERNATIONAL N V,351483,3559
ASML HOLDING NV,937966,3559
ASP VENTURES CORP,1101298,9995
ASPECT MEDICAL SYSTEMS INC,886235,3845
ASPEN EXPLORATION CORP,319458,1311
ASPEN GROUP RESOURCES CORP,1023947,1382
ASPEN INSURANCE HOLDINGS LTD,1267395,6331
ASPEN TECHNOLOGY INC /DE/,929940,7371
"AspenBio Pharma, Inc.",1167419,2835
ASPYRA INC,712815,7373
ASSET ACCEPTANCE CAPITAL CORP,1264707,6153
"Asset Back Pass-Through Certificates, Series 2004-HE3",1292369,6189
ASSET BACKED FUNDING CORP C BASS MOR LN AS BK CE SE 2004 CB1,1279671,6189
"Asset Backed Funding Corp C-BASS Mortgage Loan Asset-Backed Certificates, Series 2004-CB5",1300638,6189
Asset Backed Funding Corp. ABFC Asset Backed Certificates Series 2004-OPT3,1289093,6189
ASSET BACKED PASS THRU CERTS SERIES 2004 HE1,1274537,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE10",1311090,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE4",1293183,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE5",1296270,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE6",1302187,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE7",1305417,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE8",1310369,6189
"Asset Backed Pass-Through Certificates, Series 2004-HE9",1310701,6189
ASSET BACKED SEC CORP ASSET BACK PASS-THR CERTS SER 2004-HE2,1285960,6189
ASSET BACKED SEC CORP FIELDSTONE MORT INV TR SER 2004-2,1287716,6189
ASSET-BACKED CERTIFICATES SERIES 2004-HE1,1278017,6189
"Asset-Backed Funding Corp. ABFC Asset Backed Certificates, Series 2004-OPT4",1296183,6189
"Asset-Backed Funding Corp. ABFC Asset Backed Certificates, Series 2004-OPT5",1306021,6189
ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-R2,1286298,6189
ASSET-BACKED PASS-THROUGH CERTIFICATES SERIES 2004-W1,1278829,6189
"ASSET-BACKED PASS-THROUGH CERTIFICATES, SERIES 2004-R5",1292240,6189
ASSOCIATED BANC-CORP,7789,6022
ASSOCIATED ESTATES REALTY CORP,911635,6798
ASSOCIATED MATERIALS INC,802967,3089
ASSURANCEAMERICA CORP,8497,6331
ASSURANT INC,1267238,6321
ASSURED GUARANTY LTD,1273813,6351
"Assured Pharmacy, Inc.",1100592,5912
ASTA FUNDING INC,1001258,6153
ASTEA INTERNATIONAL INC,945989,7372
ASTEC INDUSTRIES INC,792987,3531
ASTORIA FINANCIAL CORP,910322,6035
ASTRALIS LTD,1099066,2834
ASTRATA GROUP INC,1071157,3829
ASTRAZENECA PLC,901832,2834
ASTRIS ENERGI INC,1022518,3690
ASTRO MED INC /NEW/,8146,3577
ASTRONICS CORP,8063,3728
ASV INC /MN/,926763,3531
ASYST TECHNOLOGIES INC,909326,3559
AT&S HOLDINGS INC,1273197,7510
AT&T INC.,732717,4813
ATARI INC,1002607,7372
ATC HEALTHCARE INC /DE/,720480,8082
ATEL CAPITAL EQUIPMENT FUND IX LLC,1125264,7359
ATEL CAPITAL EQUIPMENT FUND VII LP,1019542,7359
ATEL CAPITAL EQUIPMENT FUND VIII LLC,1069152,7359
ATEL CAPITAL EQUIPMENT FUND X LLC,1186258,7359
"ATEL Capital Equipment Fund XI, LLC",1297667,7359
ATEL CASH DISTRIBUTION FUND V L P,892875,7359
ATEL CASH DISTRIBUTION FUND VI LP,927569,7359
ATHEROGENICS INC,1107601,2834
ATHEROS COMMUNICATIONS INC,1140486,3674
ATI TECHNOLOGIES INC,1065331,3575
ATLANTIC AMERICAN CORP,8177,6311
ATLANTIC BANCGROUP INC,1087790,6035
ATLANTIC COAST ENTERTAINMENT HOLDINGS INC,1269977,7011
ATLANTIC COAST FEDERAL CORP,1284077,6035
ATLANTIC SECURITY INC,1102743,9995
ATLANTIC SYNDICATION NETWORK INC,1085129,7819
ATLANTIC TELE NETWORK INC /DE,879585,4813
ATLANTIC WINE AGENCIES INC,1142790,6770
ATLANTICA INC,1062506,6770
ATLANTIS PLASTICS INC,811828,3081
ATLAS AIR WORLDWIDE HOLDINGS INC,1135185,4522
ATLAS AMERICA INC,1279228,1311
ATLAS AMERICA PUBLIC  NO 10 LTD,1157516,1381
Atlas America Public #14-2004 L.P.,1294476,1311
ATLAS AMERICA PUBLIC 11-2002 LTD,1175028,1311
ATLAS AMERICA PUBLIC 12 2003 PROGRAM,1238289,1311
ATLAS AMERICA PUBLIC NO 9 LTD,1121745,1382
ATLAS FUTURES FUND LIMITED PARTNERSHIP,865549,6221
ATLAS MINING CO,8328,1040
ATLAS PIPELINE PARTNERS LP,1092914,4922
Atlas South Sea Pearl LTD,1011974,900
ATM FINANCIAL CORP,1221554,7389
ATMEL CORP,872448,3674
ATMI INC,1041577,2810
ATMOS ENERGY CORP,731802,4924
ATMOSPHERIC GLOW TECHNOLOGIES INC,1020676,8711
ATNA RESOURCES LTD,1041548,1000
ATP OIL & GAS CORP,1123647,1311
ATRION CORP,701288,3841
ATS MEDICAL INC,824068,3842
ATSI COMMUNICATIONS INC/DE,1014052,4813
ATTUNITY LTD,893821,7372
ATWOOD OCEANICS INC,8411,1381
AU OPTRONICS CORP,1172494,3674
AUBURN NATIONAL BANCORPORATION INC,750574,6022
AUCXIS CORP,1102233,7389
AUDIBLE INC,1077926,7389
AUDIOCODES LTD,1086434,3661
AUDIOVOX CORP,807707,5065
AURELIA ENERGY N V,1172374,3812
AURELIO RESOURCE CORP,1295803,1000
"AURIGA LABORATORIES, INC.",1072313,7389
AURIZON MINES LTD,913955,1090
AURORA GOLD CORP,1037049,1000
AURORA METALS BVI LTD,1117073,1400
Aurora Oil & Gas CORP,933157,1311
Austin Chalk Oil & Gas,1098590,1311
AUSTRAL PACIFIC ENERGY LTD,1041829,1382
AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,859994,6029
AUSTRALIAN CANADIAN OIL ROYALTIES LTD,1061288,6792
AUSTRALIAN OIL & GAS CORP,1080634,1311
AUTHENTIDATE HOLDING CORP,885074,7373
AUTHORISZOR INC,850083,7372
"AUTO UNDERWRITERS OF AMERICA, INC.",726747,6141
AUTOBYTEL  INC,1023364,7370
AUTOCAM CORP/MI,879235,3714
AUTODESK INC,769397,7372
AUTOIMMUNE INC,879106,2836
AUTOINFO INC,351017,4210
AUTOLIV INC,1034670,3714
AUTOMATIC DATA PROCESSING INC,8670,7374
AUTONATION INC /FL,350698,5500
AUTOSTRADA MOTORS INC,1286923,5010
AUTOZONE INC,866787,5531
AUX (USA) INC.,1289277,6770
AUXILIO INC,1011432,7389
AUXILIUM PHARMACEUTICALS INC,1182129,2834
AVALON ENERGY CORP.,746631,1311
AVALON HOLDINGS CORP,1061069,4953
"Avalon Oil & Gas, Inc.",918573,1311
AVALONBAY COMMUNITIES INC,915912,6798
AVANEX CORP,1056794,3674
AVANI INTERNATIONAL GROUP INC //,1048701,2086
AVANIR PHARMACEUTICALS,858803,2834
AVANT IMMUNOTHERAPEUTICS INC,744218,2835
"Avantogen Oncology, Inc.",894538,9995
AVATAR HOLDINGS INC,39677,1531
AVATAR SYSTEMS INC,707063,7372
AVATECH SOLUTIONS INC,852437,7372
AVAX TECHNOLOGIES INC,1015441,2836
AVAYA INC,1116521,3661
Aventura Holdings Inc.,878802,7812
AVENUE ENTERTAINMENT GROUP INC /DE/,1023298,7819
AVENUE GROUP INC,1100006,1311
AVERY DENNISON CORPORATION,8818,2670
AVI BIOPHARMA INC,873303,2834
AVIALL INC,701650,5080
AVIATION UPGRADE TECHNOLOGIES INC,1094847,3714
AVICI SYSTEMS INC,1094895,3576
AVID TECHNOLOGY INC,896841,3861
AVIGEN INC \DE,932903,2835
AVINO SILVER & GOLD MINES LTD,316888,1000
AVISTA CORP,104918,4931
AVISTAR COMMUNICATIONS CORP,1111632,3576
AVITAR INC /DE/,814008,3842
AVNET INC,8858,5065
AVOCENT CORP,1109808,3577
AVON PRODUCTS INC,8868,2844
AVP INC,930817,7997
AVVAA WORLD HEALTH CARE PRODUCTS INC,1092534,2834
AVX CORP,859163,3670
AWARE INC /MA/,1015739,3674
AXA,898427,6311
AXA FINANCIAL INC,888002,6311
AXCAN PHARMA INC,1116094,5122
AXCELIS TECHNOLOGIES INC,1113232,3559
AXCESS INTERNATIONAL INC/TX,710597,7373
AXESSTEL INC,1092492,3669
AXIAL VECTOR ENGINE CORP,1144130,3510
"Axion Power International, Inc.",1028153,3690
AXIS CAPITAL HOLDINGS LTD,1214816,6331
AXM PHARMA INC,1113643,2834
AXONYX INC,1070698,2834
AXS ONE INC,947427,7372
AXSYS TECHNOLOGIES INC,206030,3827
AXT INC,1051627,3674
AZTAR CORP,852807,7990
"AZTEC OIL & GAS, INC.",789606,1311
"AZUR HOLDINGS, INC.",785544,6770
"Azur International, Inc.",1093673,7389
AZZ INC,8947,3640
B B Holdings LTD,882505,7340
B FAST CORP,350200,5172
B PLUS H OCEAN CARRIERS LTD,835540,4400
B&D Food Corp.,743241,2090
"B&G Foods, Inc.",1278027,2000
"B2Digital, Inc.",725929,7841
BA Credit Card Trust,1128250,6189
BA Master Credit Card Trust II,936988,6189
"BAB, INC.",1123596,2050
BACK YARD BURGERS INC,901495,5812
BACKWEB TECHNOLOGIES LTD,1082064,7372
"BAD TOYS Holdings, Inc.",1200268,3751
BADGER METER INC,9092,3824
BADGER STATE ETHANOL LLC,1128546,2860
BAGDAD CHASE INC,9128,1000
BAIRNCO CORP /DE/,350750,2821
BAKER HUGHES INC,808362,3533
BAKER MICHAEL CORP,9263,8741
BAKERS FOOTWEAR GROUP INC,1171032,5661
BALATON POWER INC,1132704,9995
BALCHEM CORP,9326,2800
BALDOR ELECTRIC CO,9342,3621
BALDWIN & LYONS INC,9346,6331
BALDWIN TECHNOLOGY CO INC,805792,3555
BALL CORP,9389,3411
BALLANTYNE OF OMAHA INC,946454,3861
BALLARD POWER SYSTEMS INC,933777,3620
BALLISTIC RECOVERY SYSTEMS INC,801907,3728
BALSAM VENTURES INC,1103092,7389
BALTIA AIR LINES INC,869187,4512
BALTIMORE GAS & ELECTRIC CO,9466,4931
BANC OF AMERICA ALT MTG P/T CERT SERIES 2004 3,1285179,6189
BANC OF AMERICA ALTERNATIVE  LOAN TRUST SER 2003 9,1268102,6189
BANC OF AMERICA ALTERNATIVE LOAN TRUST 2003-3,1228931,6189
BANC OF AMERICA ALTERNATIVE LOAN TRUST 2003-5,1246362,6189
BANC OF AMERICA ALTERNATIVE LOAN TRUST 2003-6,1256393,6189
Banc of America Alternative Loan Trust Mortgage Pass-Through Certificates Series 2004-10,1307079,6189
